speciescode,scientific_name,family,growth_form,leaf_type,myco_asso,phenology,ps_type,nitrogen_fixer,shade_tolerance,shade_tolerance_numeric,shade_reference,myco_reference,comments,try_species_ID
LASA3,Lactuca sativa L.,Asteraceae,herb,broad,AM,deciduous,C3,FALSE,,,,,,
LALA,Larix laricina (Du Roi) K. Koch,Pinaceae,tree,needle,ECM,deciduous,C3,FALSE,Intolerant,0.98,"TRY Refs 1, 38",,,
LANO80,Laurus nobilis L.,Lauraceae,tree,broad,AM,evergreen,C3,FALSE,,,,,,
kew-313088,Lecythis lurida (Miers) S.A.Mori,Lecythidaceae,tree,broad,AM,evergreen,C3,FALSE,,,,TRY Ref 8,,32623
LEGR,Ledum groenlandicum Oeder,Ericaceae,shrub,broad,ERM,deciduous,C3,FALSE,,,,,,
LIVU,Ligustrum vulgare L.,Oleaceae,shrub,broad,AM,deciduous,C3,FALSE,Intermediate,2.29,"TRY Refs 1, 38",TRY Ref 89,,33431
LIST2,Liquidambar styraciflua L.,Hamamelidaceae,tree,broad,AM,deciduous,C3,FALSE,Intolerant,1.59,"TRY Refs 1, 38",,,
LITU,Liriodendron tulipifera L.,Magnoliaceae,tree,broad,AM,deciduous,C3,FALSE,Intolerant,2.07,"TRY Refs 1, 38",,,
LOPE,Lolium perenne L.,Poaceae,graminoid,broad,AM,deciduous,C4,FALSE,Intolerant,,,,,
LONIC,Lonicera L.,Caprifoliaceae,shrub,broad,AM,deciduous,C3,FALSE,,,,,,
LUPA,Ludwigia palustris (L.) Elliott,Onagraceae,herb,broad,AM,deciduous,C3,FALSE,,,,,,
kew-2496835,Luehea seemannii Triana & Planch,Malvaceae,tree,broad,AM,evergreen,C3,FALSE,Intermediate,,(Genus) Mendes,,,
LUAR9,Luzula arctica Blytt,Juncaceae,graminoid,broad,,,C3,FALSE,,,,TRY Ref 18,,34477
MAAC,Magnolia acuminata (L.) L.,Magnoliaceae,tree,broad,AM,deciduous,C3,FALSE,Intermediate,3.03,"TRY Refs 1, 38",,,
MALA6,Malosma laurina (Nutt.) Nutt. ex Abrams,Anacardiaceae,tree,broad,AM,evergreen,C3,FALSE,Intolerant,,http://www.moosacreeknursery.com/Native_Plants/294/Malosma-laurina,,,
kew-120173,Manilkara huberi (Ducke) Standl.,Sapotaceae,tree,broad,AM,evergreen,C3,FALSE,,,,TRY Ref 8,,35372
MESA,Medicago sativa L.,Fabaceae,herb,broad,AM,deciduous,C3,TRUE,Intermediate,,https://researcharchive.lincoln.ac.nz/handle/10182/1477,,,
tro-20302666,Miconia argentea (Sw.) DC.,Melastomataceae,tree,broad,AM,deciduous,C3,FALSE,Intolerant,,Uriarte et al. 2004 “A spatially explicit model” J. Ecology,(Genus) Kottke et al. 2004 J. Trop. Eco.,,
tro-20302782,Miconia borealis Gleason,Melastomataceae,shrub,broad,AM,deciduous,C3,FALSE,,,,(Genus) Kottke et al. 2004 J. Trop. Eco.,,
MICON,Miconia spp.,Melastomataceae,tree,broad,AM?,evergreen,C3,FALSE,,,,TRY Ref 8 (genus),,
MOAL,Morus alba L.,Moraceae,tree,broad,AM,deciduous,C3,FALSE,Intolerant,1.35,"TRY Refs 1, 38",,,
MONI,Morus nigra L.,Moraceae,tree,broad,AM,deciduous,C3,FALSE,,,,,,
NYSY,Nyssa sylvatica Marshall,Cornaceae,tree,broad,AM,deciduous,C3,FALSE,Intermediate,3.52,"TRY Refs 1, 38",,,
OCOTE,Ocotea spp.,Lauraceae,tree,broad,AM,evergreen,C3,FALSE,,,,TRY Ref 8 (genus),,
ORSA,Oryza sativa L.,Poaceae,graminoid,broad,AM,deciduous,C4,FALSE,Intermediate,,http://link.springer.com/article/10.1023/A:1013758504857,,,
OSHE,Osmanthus heterophyllus (G. Don) P.S. Green,Oleaceae,tree,broad,,evergreen,C3,FALSE,Intermediate,,http://www.greatplantpicks.org/plantlists/view/1062,,,39403
OSVI,Ostrya virginiana (Mill.) K. Koch,Betulaceae,tree,broad,ECM,deciduous,C3,FALSE,Tolerant,4.58,"TRY Refs 1, 38",,,
PATR6,Parthenocissus tricuspidata (Siebold & Zucc.) Planch.,Vitaceae,vine,broad,AM,deciduous,,FALSE,Tolerant,,,,,
PEAM3,Persea americana Mill.,Lauraceae,tree,broad,AM,evergreen,C3,FALSE,Intermediate,,http://www.tradewindsfruit.com/content/avocado.htm,,,
PEFR5,Petasites frigidus (L.) Fr.,Asteraceae,herb,broad,NM,deciduous,C3,FALSE,,,,,,
PHAR3,Phalaris arundinacea L.,Poaceae,graminoid,broad,AM,deciduous,C3,FALSE,Intolerant,,,,,
PHPR3,Phleum pratense L.,Poaceae,graminoid,broad,AM,deciduous,C3,FALSE,Intermediate,,,,,
PHOEN2,Phoenix L.,Arecaceae,tree,broad,AM,evergreen,C3,FALSE,,,,,,
PHLE14,Phoradendron leucarpum (Raf.) Reveal & M.C. Johnst.,Viscaceae,shrub,broad,,,C3,FALSE,,,,,,93174
PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,Poaceae,shrub,broad,AM,deciduous,C3,TRUE,Intolerant,,,,,
PIAB,Picea abies (L.) Karst.,Pinaceae,tree,needle,ECM,evergreen,C3,FALSE,Tolerant,4.45,"TRY Refs 1, 38",,,
PIEN,Picea engelmannii Parry ex Engelm.,Pinaceae,tree,needle,ECM,evergreen,C3,FALSE,Tolerant,4.53,"TRY Refs 1, 38",,,
PIGL,Picea glauca (Moench) Voss,Pinaceae,tree,needle,ECM,evergreen,C3,FALSE,Tolerant,4.15,"TRY Refs 1, 38",,,
PIMA,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",Pinaceae,tree,needle,ECM,evergreen,C3,FALSE,Tolerant,4.08,"TRY Refs 1, 38",,,
PIRU,Picea rubens Sarg.,Pinaceae,tree,needle,ECM,evergreen,C3,FALSE,Tolerant,4.39,"TRY Refs 1, 38",,,
PISA,Pimpinella saxifraga L.,Apiaceae,herb,broad,AM,evergreen,C3,FALSE,,,,,,
