RawSpecies,ScientificName,SpeciesCode,Database_ID,Project,old_scientific,SpeciesScientific
"Quercus kelloggii","Quercus kelloggii Newberry",QUKE,USDA_Plants,ACCP,NA,NA
"Quercus lobata","Quercus lobata Née",QULO,USDA_Plants,ACCP,NA,NA
"Quercus rubra","Quercus rubra L.",QURU,USDA_Plants,ACCP,NA,NA
"Thuja occidentalis","Thuja occidentalis L.",THOC2,USDA_Plants,ACCP,NA,NA
"Tsuga canadensis","Tsuga canadensis (L.) Carrière",TSCA,USDA_Plants,ACCP,NA,NA
"Typha angustifolia","Typha angustifolia L.",TYAN,USDA_Plants,ACCP,NA,NA
"Umbellularia californica","Umbellularia californica (Hook. & Arn.) Nutt.",UMCA,USDA_Plants,ACCP,NA,NA
Wyethia,"Wyethia Nutt.",WYETH,USDA_Plants,ACCP,NA,NA
"Xanthium strumarium","Xanthium strumarium L.",XAST,USDA_Plants,ACCP,NA,NA
PIST,"Pinus strobus L.",PIST,USDA_Plants,ACCP,NA,NA
PISY,"Pinus sylvestris L.",PISY,USDA_Plants,ACCP,NA,NA
PIVI,"Pinus virginiana Mill.",PIVI2,USDA_Plants,ACCP,NA,NA
PODE,"Populus deltoides Bartram ex Marsh.",PODE3,USDA_Plants,ACCP,NA,NA
POGR,"Populus grandidentata Michx.",POGR4,USDA_Plants,ACCP,NA,NA
POTR,"Populus tremuloides Michx.",POTR5,USDA_Plants,ACCP,NA,NA
PRUNUS,"Prunus L.",PRUNU,USDA_Plants,ACCP,NA,NA
PRPE,"Prunus pensylvanica L. f.",PRPE2,USDA_Plants,ACCP,NA,NA
PRSE,"Prunus serotina Ehrh.",PRSE2,USDA_Plants,ACCP,NA,NA
QUAL,"Quercus alba L.",QUAL,USDA_Plants,ACCP,NA,NA
QUEL,"Quercus ellipsoidalis E.J. Hill",QUEL,USDA_Plants,ACCP,NA,NA
QUMA,"Quercus macrocarpa Michx.",QUMA2,USDA_Plants,ACCP,NA,NA
QUPR,"Quercus prinus L.",QUMO4,USDA_Plants,ACCP,NA,NA
QURU,"Quercus rubra L.",QURU,USDA_Plants,ACCP,NA,NA
RHCA,"Rhamnus cathartica L.",RHCA3,USDA_Plants,ACCP,NA,NA
ROPS,"Robinia pseudoacacia L.",ROPS,USDA_Plants,ACCP,NA,NA
SAAL,"Sassafras albidum (Nutt.) Nees",SAAL5,USDA_Plants,ACCP,NA,NA
THOC,"Thuja occidentalis L.",THOC2,USDA_Plants,ACCP,NA,NA
TIAM,"Tilia americana L.",TIAM,USDA_Plants,ACCP,NA,NA
TSCA,"Tsuga canadensis (L.) Carrière",TSCA,USDA_Plants,ACCP,NA,NA
TYLA,"Typha latifolia L.",TYLA,USDA_Plants,ACCP,NA,NA
ULAM,"Ulmus americana L.",ULAM,USDA_Plants,ACCP,NA,NA
"Calicarpa bodinieri","Callicarpa bodinieri H.Lév.",kew-30688,ThePlantList,ANGERS,NA,NA
"Cornus alba 'Elegantissima'","Cornus alba L.",kew-47268,ThePlantList,ANGERS,NA,NA
"Rhododendron calophytum","Rhododendron calophytum Franch.",tro-50060048,ThePlantList,ANGERS,NA,NA
"Schefflera arboricola 'Gold Capella'","Schefflera arboricola (Hayata) Merr.",SCAR10,USDA_Plants,ANGERS,NA,NA
"Acer negundo 'Variegatum'","Acer negundo L.",ACNE2,USDA_Plants,ANGERS,NA,NA
"Acer pseudoplatanus L.","Acer pseudoplatanus L.",ACPS,USDA_Plants,ANGERS,NA,NA
